market,region,currency,fx_year,concatenate,fx_to_eur,fx_to_dkk,source,notes,added_at
Hong Kong,Asia,Hong Kong Dollar,2025,Hong Kong Dollar_2025,0.117762861,0.8787818,Carlsberg Group Finance,,
Hungary,CEEI,Hungarian Forint,2025,Hungarian Forint_2025,0.002465275,0.018396624,Carlsberg Group Finance,,
India,CEEI,Indian Rupiah,2025,Indian Rupiah_2025,0.010726722,0.080046018,Carlsberg Group Finance,,
Italy,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Kazakhstan,CEEI,Kazakhstani Tenge,2025,Kazakhstani Tenge_2025,0.001827009,0.013633692,Carlsberg Group Finance,,
Latvia,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Lithuania,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Malaysia,Asia,Malaysian Ringgit,2025,Malaysian Ringgit_2025,0.205579805,1.53409818,Carlsberg Group Finance,,
Montenegro,CEEI,Euro,2025,Euro_2025,1,7.4623,Carlsberg Group Finance,,
Norway,WER,Norwegian Krone,2025,Norwegian Krone_2025,0.083527402,0.623306534,Carlsberg Group Finance,,
Poland,WER,Polish Zloty,2025,Polish Zloty_2025,0.227093117,1.694636969,Carlsberg Group Finance,,
Saudi Arabia,CE&L,US Dollar,2025,US Dollar_2025,0.913526913,6.817011881,Carlsberg Group Finance,,
Serbia,CEEI,Serbian Dinar,2025,Serbian Dinar_2025,0.008420654,0.06283745,Carlsberg Group Finance,,
Singapore,Asia,Singapore Dollar,2025,Singapore Dollar_2025,0.695202408,5.187808931,Carlsberg Group Finance,,
South Korea,CE&L,South Korean Won,2025,South Korean Won_2025,0.00067786,0.005058398,Carlsberg Group Finance,,
Sweden,WER,Swedish Krona,2025,Swedish Krona_2025,0.08651361,0.645590509,Carlsberg Group Finance,,
Switzerland,WER,Swiss Franc,2025,Swiss Franc_2025,1.085642363,8.101389009,Carlsberg Group Finance,,
Ukraine,CEEI,Ukrainian Hryvnia,2025,Ukrainian Hryvnia_2025,0.020761975,0.154932088,Carlsberg Group Finance,,
United Kingdom,WER,British Pound,2025,British Pound_2025,1.162818686,8.677301884,Carlsberg Group Finance,,
Vietnam,Asia,Vietnamese Dong,2025,Vietnamese Dong_2025,3.63E-05,0.000270741,Carlsberg Group Finance,,
