brand,market,fx_year,concatenate,cbht_report_source,brand_league,source_of_truth,notes,status,added_by,added_at
1664,Vietnam,2024,1664_Vietnam_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Azerbaijan,2024,1664 Blanc_Azerbaijan_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Blanc,Azerbaijan,2025,1664 Blanc_Azerbaijan_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Bulgaria,2024,1664 Blanc_Bulgaria_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Blanc,Bulgaria,2025,1664 Blanc_Bulgaria_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Cambodia,2024,1664 Blanc_Cambodia_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Cambodia,2025,1664 Blanc_Cambodia_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Canada,2024,1664 Blanc_Canada_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Canada,2025,1664 Blanc_Canada_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,China,2023,1664 Blanc_China_2023,FY23 C-BHT,Scaler,Carlsberg Insights Hub,for Q4 only; in Beer study,,,
1664 Blanc,China,2024,1664 Blanc_China_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,China,2025,1664 Blanc_China_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,In China FY24 study,,,
1664 Blanc,Croatia,2024,1664 Blanc_Croatia_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Croatia,2025,1664 Blanc_Croatia_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Denmark,2024,1664 Blanc_Denmark_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Denmark,2025,1664 Blanc_Denmark_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Estonia,2024,1664 Blanc_Estonia_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Estonia,2025,1664 Blanc_Estonia_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Finland,2024,1664 Blanc_Finland_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
